sensor,bucket,timestamp,value,type
['kitchen_PIR'],1_5_9,1730714523000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714546000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714556000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714572000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714604000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714616000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714623000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714632000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714652000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714661000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714687000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714698000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714709000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714720000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714734000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714769000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714786000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714826000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714859000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714870000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714889000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714916000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714928000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714949000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714960000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714970000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714993000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730715008000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730715031000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730715041000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730715062000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730715074000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730715093000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730715116000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730715133000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730715154000.0,kitchen,sensor
