sensor,bucket,timestamp,value,type,sensor_encoded
bathroom_PIR,1_3_6,2024-11-10 09:28:14.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 09:28:37.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 09:28:46.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 09:29:18.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 09:29:42.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 09:29:53.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 09:30:08.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 09:30:42.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 09:31:45.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 09:32:14.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 09:32:47.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 09:32:55.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 09:33:10.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 09:33:27.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 09:33:45.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 09:34:28.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 09:34:39.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 09:34:52.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 09:35:01.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 09:35:22.000,bathroom,sensor,0
kitchen_PIR,1_5_9,2024-11-10 09:38:50.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 09:39:07.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 09:43:08.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 09:44:09.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 09:44:32.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 09:44:40.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 09:45:05.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 09:46:01.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 09:46:29.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 09:46:42.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 09:46:47.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 09:47:20.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 09:47:49.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 09:48:09.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 09:49:04.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 09:49:18.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 09:49:55.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 09:50:40.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 09:51:04.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 09:53:15.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 09:54:06.000,kitchen,sensor,1
bathroom_PIR,1_3_6,2024-11-10 09:55:54.000,bathroom,sensor,0
kitchen_PIR,1_5_9,2024-11-10 09:57:11.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 10:00:39.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 10:01:07.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 10:01:38.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 10:02:37.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 10:02:51.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 10:04:03.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 10:04:14.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 10:04:33.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 10:04:55.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 10:05:51.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 10:06:01.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 10:06:18.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 10:06:29.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 10:06:58.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 10:07:40.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 10:08:19.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 10:09:16.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 10:10:37.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 10:11:20.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 10:13:50.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 10:14:20.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 10:14:35.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 10:18:55.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 10:19:27.000,kitchen,sensor,1
