group_id,value,start_time,end_time,duration,duration_seconds
83,kitchen,2024-12-13 19:50:26.290,2024-12-13 19:50:26.290,0 days 00:00:00,0.0
84,bathroom,2024-12-13 19:50:43.573,2024-12-13 19:50:49.750,0 days 00:00:06.177000,6.177
85,kitchen,2024-12-13 19:50:54.101,2024-12-13 19:51:20.267,0 days 00:00:26.166000,26.166
86,bathroom,2024-12-13 19:51:36.609,2024-12-13 19:51:42.865,0 days 00:00:06.256000,6.256
87,kitchen,2024-12-13 19:51:44.956,2024-12-13 19:52:55.371,0 days 00:01:10.415000,70.415
88,bathroom,2024-12-13 19:54:24.796,2024-12-13 19:54:24.796,0 days 00:00:00,0.0
89,kitchen,2024-12-13 19:56:36.981,2024-12-13 19:57:52.367,0 days 00:01:15.386000,75.386
90,bathroom,2024-12-13 19:57:55.819,2024-12-13 19:57:55.819,0 days 00:00:00,0.0
91,kitchen,2024-12-13 19:58:00.427,2024-12-13 19:58:00.427,0 days 00:00:00,0.0
92,bathroom,2024-12-13 19:58:03.608,2024-12-13 19:58:03.608,0 days 00:00:00,0.0
93,kitchen,2024-12-13 19:58:09.929,2024-12-13 19:58:09.929,0 days 00:00:00,0.0
94,bathroom,2024-12-13 19:58:12.201,2024-12-13 19:58:12.201,0 days 00:00:00,0.0
95,kitchen,2024-12-13 19:58:14.590,2024-12-13 20:01:34.628,0 days 00:03:20.038000,200.038
96,bathroom,2024-12-13 20:03:14.756,2024-12-13 20:03:54.943,0 days 00:00:40.187000,40.187
97,kitchen,2024-12-13 20:07:40.983,2024-12-13 20:43:33.189,0 days 00:35:52.206000,2152.206
98,bathroom,2024-12-13 20:45:27.910,2024-12-13 20:47:58.677,0 days 00:02:30.767000,150.767
99,kitchen,2024-12-13 20:48:18.214,2024-12-13 20:50:33.369,0 days 00:02:15.155000,135.155
100,bathroom,2024-12-13 20:59:52.100,2024-12-13 21:00:58.578,0 days 00:01:06.478000,66.478
101,kitchen,2024-12-13 21:01:30.223,2024-12-13 21:01:30.223,0 days 00:00:00,0.0
102,bathroom,2024-12-13 21:01:30.843,2024-12-13 21:01:37.374,0 days 00:00:06.531000,6.531
103,kitchen,2024-12-13 21:01:37.418,2024-12-13 21:01:37.418,0 days 00:00:00,0.0
104,bathroom,2024-12-13 21:01:44.542,2024-12-13 21:01:44.542,0 days 00:00:00,0.0
105,kitchen,2024-12-13 21:01:48.741,2024-12-13 21:01:48.741,0 days 00:00:00,0.0
106,bathroom,2024-12-13 21:02:04.383,2024-12-13 21:06:41.039,0 days 00:04:36.656000,276.656
107,kitchen,2024-12-13 21:09:48.979,2024-12-13 21:14:36.764,0 days 00:04:47.785000,287.785
108,bathroom,2024-12-13 21:57:35.175,2024-12-13 21:57:48.353,0 days 00:00:13.178000,13.178
109,kitchen,2024-12-13 21:58:11.556,2024-12-13 21:58:11.556,0 days 00:00:00,0.0
110,bathroom,2024-12-13 21:58:18.424,2024-12-13 21:58:18.424,0 days 00:00:00,0.0
111,kitchen,2024-12-13 21:58:18.686,2024-12-13 21:58:33.796,0 days 00:00:15.110000,15.11
112,bathroom,2024-12-13 22:01:55.264,2024-12-13 22:02:39.992,0 days 00:00:44.728000,44.728
113,kitchen,2024-12-13 22:02:42.835,2024-12-13 22:02:42.835,0 days 00:00:00,0.0
114,bathroom,2024-12-13 22:02:49.778,2024-12-13 22:02:49.778,0 days 00:00:00,0.0
115,kitchen,2024-12-13 22:02:52.417,2024-12-13 22:02:57.744,0 days 00:00:05.327000,5.327
116,bathroom,2024-12-13 22:03:01.055,2024-12-13 22:03:01.055,0 days 00:00:00,0.0
117,kitchen,2024-12-13 22:03:02.052,2024-12-13 22:03:18.427,0 days 00:00:16.375000,16.375
118,bathroom,2024-12-13 22:03:28.654,2024-12-13 22:03:28.654,0 days 00:00:00,0.0
119,kitchen,2024-12-13 22:03:36.874,2024-12-13 22:03:47.730,0 days 00:00:10.856000,10.856
120,bathroom,2024-12-13 22:04:00.114,2024-12-13 22:04:00.114,0 days 00:00:00,0.0
121,kitchen,2024-12-13 22:04:02.087,2024-12-13 22:04:48.764,0 days 00:00:46.677000,46.677
122,bathroom,2024-12-13 22:04:55.941,2024-12-13 22:04:55.941,0 days 00:00:00,0.0
123,kitchen,2024-12-13 22:04:58.417,2024-12-13 22:05:08.123,0 days 00:00:09.706000,9.706
124,bathroom,2024-12-13 22:05:16.243,2024-12-13 22:05:16.243,0 days 00:00:00,0.0
125,kitchen,2024-12-13 22:05:21.679,2024-12-13 22:05:48.451,0 days 00:00:26.772000,26.772
126,bathroom,2024-12-13 22:06:09.592,2024-12-13 22:06:09.592,0 days 00:00:00,0.0
127,kitchen,2024-12-13 22:06:14.565,2024-12-13 22:06:14.565,0 days 00:00:00,0.0
128,bathroom,2024-12-13 22:06:22.660,2024-12-13 22:07:07.873,0 days 00:00:45.213000,45.213
129,kitchen,2024-12-13 22:07:13.656,2024-12-13 22:07:28.877,0 days 00:00:15.221000,15.221
130,bathroom,2024-12-13 22:07:34.032,2024-12-13 22:07:34.032,0 days 00:00:00,0.0
131,kitchen,2024-12-13 22:07:43.620,2024-12-13 22:07:50.749,0 days 00:00:07.129000,7.129
132,bathroom,2024-12-13 22:07:54.535,2024-12-13 22:08:00.354,0 days 00:00:05.819000,5.819
133,kitchen,2024-12-13 22:08:06.100,2024-12-13 22:08:06.100,0 days 00:00:00,0.0
134,bathroom,2024-12-13 22:08:14.860,2024-12-13 22:08:49.190,0 days 00:00:34.330000,34.33
135,kitchen,2024-12-13 22:09:04.012,2024-12-13 22:09:44.295,0 days 00:00:40.283000,40.283
136,bathroom,2024-12-13 22:10:57.246,2024-12-13 22:26:38.664,0 days 00:15:41.418000,941.418
137,kitchen,2024-12-14 02:02:42.844,2024-12-14 05:27:55.113,0 days 03:25:12.269000,12312.269
138,bathroom,2024-12-14 05:43:39.932,2024-12-14 05:47:14.908,0 days 00:03:34.976000,214.976
139,kitchen,2024-12-14 05:50:17.689,2024-12-14 05:57:21.567,0 days 00:07:03.878000,423.878
140,bathroom,2024-12-14 06:00:36.979,2024-12-14 06:01:41.867,0 days 00:01:04.888000,64.888
141,kitchen,2024-12-14 06:02:35.089,2024-12-14 06:02:48.574,0 days 00:00:13.485000,13.485
142,bathroom,2024-12-14 06:02:52.246,2024-12-14 06:02:52.246,0 days 00:00:00,0.0
143,kitchen,2024-12-14 06:02:54.990,2024-12-14 06:03:25.727,0 days 00:00:30.737000,30.737
144,bathroom,2024-12-14 06:03:32.875,2024-12-14 06:03:32.875,0 days 00:00:00,0.0
145,kitchen,2024-12-14 06:03:33.028,2024-12-14 06:03:33.028,0 days 00:00:00,0.0
146,bathroom,2024-12-14 06:03:43.598,2024-12-14 06:03:43.598,0 days 00:00:00,0.0
147,kitchen,2024-12-14 06:03:52.571,2024-12-14 06:03:52.571,0 days 00:00:00,0.0
